Город,"Средняя годовая температура, °C","Температура самого холодного  месяца, °C","Температура трёх самых холодных  месяцев, °C","Температура самого тёплого месяца,  °C","Температура трёх самых тёплых  месяцев, °C","Абсолютный минимум, °C","Абсолютный максимум, °C","Среднее годовое количество  осадков, мм"
Новосибирск,18,"−16,1","−14,7",192,175,"−45,0",372,448
Петропавловск-Камчатский,18,"−7,7","−6,9",125,111,"−31,7",30,987
Благовещенск,16,"−21,5","−19,2",218,202,"−45,4",394,543
Красноярск,16,"−15,5","−13,9",187,168,"−52,8",364,491
Архангельск,13,"−12,8","−11,3",163,141,"−45,2",344,607
Сыктывкар,13,"−14,2","−12,8",175,153,"−46,6",353,621
Калевала,11,"−12,2","−11,0",157,137,"−45,0",33,564
Александровск-Сахалинский,09,"−16,3","−14,4",166,148,"−41,0",326,679
Иркутск,09,"−17,9","−16,0",182,165,"−49,7",372,477
Тобольск,09,"−17,1","−15,9",187,169,"−51,8",372,476
Томск,09,"−17,1","−15,6",187,167,"−55,0",351,568
Мурманск,06,"−10,0","−9,3",129,111,"−39,4",329,494
Кандалакша,04,"−12,2","−11,2",146,127,"−43,5",408,543
Ключи,"−0,1","−16,7","−14,7",156,139,"−48,6",311,628
Улан-Удэ,"−0,1","−23,4","−20,2",198,179,"−54,4",40,265
Ича,"−0,2","−12,7","−11,1",117,106,"−36,1",287,642
Койнас,"−0,3","−16,3","−14,5",163,138,"−52,2",36,581
Ухта,"−0,3","−16,5","−14,8",165,141,"−49,0",34,553
Нижнеудинск,"−0,4","−20,6","−18,3",179,16,"−49,7",364,410
Канин  Нос,"−0,5","−9,0","−8,1",9,79,"−32,8",30,436
Ханты-Мансийск,"−0,8","−18,9","−17,4",184,161,"−49,0",345,530
Няксимволь,"−1,2","−19,4","−18,0",174,149,"−51,6",362,536
Кызыл,"−1,3","−28,6","−25,8",204,186,"−52,2",407,217
Чита,"−1,4","−25,1","−22,1",187,17,"−49,6",406,350
Богучаны,"−1,5","−23,3","−21,2",191,169,"−53,5",377,361
Сургут,"−1,7","−20,0","−18,8",182,157,"−55,2",347,580
Николаевск-на-Амуре,"−1,8","−21,8","−20,1",165,152,"−47,2",353,660
Печора,"−1,9","−18,4","−17,1",161,135,"−56,0",349,623
Аян,"−2,3","−17,8","−16,7",137,119,"−37,9",337,923
Магадан,"−2,7","−16,4","−15,6",12,105,"−34,6",26,559
Нарьян-Мар,"−3,0","−17,0","−15,9",135,109,"−47,6",339,504
Бор,"−3,1","−23,6","−21,9",182,155,"−56,0",361,595
Киренск,"−3,5","−26,6","−24,5",183,162,"−57,8",368,397
Охотск,"−3,8","−20,7","−19,6",135,117,"−45,7",321,500
Малые  Кармакулы,"−4,5","−14,6","−13,2",71,59,"−39,0",283,333
Экимчан,"−4,7","−30,0","−27,7",175,157,"−53,4",348,694
Баренцбург,"−5,0","−12,5","−12,2",6,44,"−39,0",203,553
Ванавара,"−5,1","−28,6","−26,6",178,153,"−61,0",357,422
Воркута,"−5,3","−19,7","−18,8",131,101,"−52,0",338,531
Алдан,"−5,5","−26,3","−25,0",166,146,"−48,7",352,718
Ербогачён,"−6,2","−30,1","−28,3",175,152,"−61,2",358,345
Анадырь,"−6,9","−22,6","−21,3",116,93,"−46,8",30,384
Нерюнгри,"−6,9","−30,4","−28,4",161,142,"−61,0",348,583
Чара,"−6,9","−32,4","−30,0",165,146,"−56,2",35,369
Вилюйск,"−8,2","−35,8","−33,6",187,162,"−60,9",374,285
Тура,"−8,4","−34,9","−32,6",169,142,"−60,0",38,369
Якутск,"−8,8","−38,6","−36,7",195,17,"−64,4",384,237
Дудинка,"−9,4","−26,8","−26,2",138,105,"−56,1",328,522
Певек,"−9,5","−27,5","−25,8",87,74,"−50,0",292,221
Хатанга,"−12,5","−31,7","−30,9",124,92,"−59,0",367,280
Тикси,"−12,6","−30,2","−29,3",77,62,"−50,0",343,322
Чокурдах,"−13,4","−33,9","−32,7",106,8,"−54,4",316,203
Верхоянск,"−14,5","−45,4","−43,5",165,138,"−67,8",373,178
Оймякон,"−15,5","−46,4","−44,6",149,126,"−65,4",346,212
